,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
115,-115.85,34.2,34.0,3868.0,1257.0,890.0,423.0,1357.1,41000.0
116,-115.88,32.93,15.0,208.0,49.0,51.0,20.0,4020.8,32500.0
117,-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1785.7,62800.0
118,-115.91,33.36,15.0,459.0,95.0,160.0,73.0,922.0,67500.0
119,-115.93,35.55,18.0,1321.0,272.0,754.0,226.0,3402.8,67500.0
120,-115.94,33.38,5.0,186.0,43.0,41.0,21.0,2700.0,58800.0
121,-115.95,33.28,12.0,99.0,25.0,37.0,17.0,1895.8,53800.0
122,-115.96,33.3,27.0,322.0,81.0,112.0,57.0,1125.0,54400.0
123,-115.98,33.32,8.0,240.0,46.0,63.0,24.0,1468.8000000000002,53800.0
124,-115.99,33.4,15.0,1945.0,536.0,515.0,273.0,2010.8999999999999,54300.0
125,-116.0,33.19,16.0,245.0,57.0,81.0,33.0,1263.9,51300.0
126,-116.0,32.74,26.0,1134.0,280.0,329.0,158.0,1433.8,43900.0
127,-116.01,33.51,24.0,2985.0,958.0,4042.0,905.0,1734.3999999999999,66400.0
128,-116.01,33.41,20.0,1996.0,515.0,659.0,295.0,2868.3999999999996,62800.0
129,-116.02,34.18,8.0,569.0,97.0,312.0,96.0,4302.1,94500.0
130,-116.05,34.12,19.0,301.0,65.0,150.0,56.0,3125.0,65600.0
131,-116.05,33.33,17.0,290.0,94.0,135.0,57.0,1729.2,81300.0
132,-116.06,34.2,29.0,1202.0,290.0,383.0,156.0,1337.1,66900.0
134,-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2425.0,76100.0
135,-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2611.1,65600.0
136,-116.11,33.64,20.0,1273.0,354.0,1548.0,355.0,2087.1,84700.0
137,-116.12,33.53,17.0,2421.0,820.0,2971.0,685.0,1654.0,100000.0
138,-116.14,34.22,32.0,3298.0,1228.0,763.0,360.0,1875.0,47800.0
139,-116.15,34.14,18.0,3312.0,705.0,1251.0,512.0,3013.9,82600.0
140,-116.15,33.69,22.0,197.0,54.0,331.0,70.0,2928.6,112500.0
141,-116.15,33.64,10.0,1711.0,499.0,1896.0,443.0,1655.7,65400.0
142,-116.16,33.68,12.0,1230.0,277.0,1334.0,260.0,2267.9,61400.0
143,-116.17,33.67,18.0,3585.0,800.0,3873.0,788.0,2571.4,65900.0
144,-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1930.6000000000001,47500.0
145,-116.17,33.53,13.0,1713.0,512.0,1978.0,442.0,2128.7,58600.0
146,-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2375.0,155000.0
147,-116.18,33.67,25.0,2888.0,654.0,2940.0,660.0,2214.1000000000004,66700.0
148,-116.19,33.67,16.0,1859.0,476.0,1994.0,477.0,1729.7,67500.0
149,-116.2,33.7,26.0,2399.0,625.0,2654.0,535.0,2298.9,60600.0
150,-116.2,33.63,23.0,1152.0,273.0,1077.0,235.0,2500.0,96300.0
151,-116.2,32.64,28.0,1608.0,409.0,567.0,254.0,1464.8000000000002,61800.0
152,-116.21,33.75,22.0,894.0,192.0,830.0,202.0,3067.2999999999997,68200.0
153,-116.21,33.72,28.0,2488.0,714.0,2891.0,676.0,2316.9,68900.0
154,-116.21,33.71,19.0,3114.0,787.0,3157.0,772.0,1708.3,82200.0
155,-116.21,33.68,34.0,584.0,176.0,625.0,166.0,1580.8999999999999,100000.0
156,-116.21,33.66,19.0,1596.0,295.0,1201.0,282.0,3884.6,100900.0
157,-116.22,36.0,14.0,1372.0,386.0,436.0,213.0,1147.1,32900.0
158,-116.22,34.21,23.0,1175.0,468.0,355.0,151.0,2208.2999999999997,42500.0
159,-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3310.7000000000003,69400.0
160,-116.22,33.73,38.0,1695.0,352.0,1279.0,305.0,2121.7000000000003,68500.0
161,-116.22,33.72,28.0,826.0,258.0,979.0,245.0,1717.2,58800.0
162,-116.22,33.7,9.0,3861.0,849.0,825.0,401.0,3283.3,124700.0
163,-116.23,33.73,29.0,1133.0,221.0,918.0,239.0,2864.7999999999997,72100.0
164,-116.23,33.72,32.0,4981.0,1326.0,3779.0,1186.0,1780.5,76900.0
165,-116.23,33.71,17.0,4874.0,1349.0,5032.0,1243.0,2444.0,90000.0
166,-116.24,33.73,14.0,2774.0,566.0,1530.0,505.0,3068.2,104100.0
167,-116.24,33.72,25.0,5236.0,1039.0,2725.0,935.0,3775.0,93400.0
168,-116.24,33.71,10.0,9033.0,2224.0,5525.0,1845.0,2759.7999999999997,95000.0
169,-116.25,33.81,24.0,880.0,187.0,507.0,169.0,3458.2999999999997,67500.0
170,-116.25,33.75,33.0,278.0,91.0,375.0,81.0,2025.0,50000.0
171,-116.25,33.69,5.0,1664.0,444.0,907.0,374.0,2766.7000000000003,92900.0
172,-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10294.800000000001,382400.0
173,-116.26,33.07,17.0,934.0,284.0,452.0,184.0,1987.5,83700.0
174,-116.27,34.13,37.0,452.0,109.0,184.0,59.0,3729.2000000000003,65800.0
175,-116.29,33.74,6.0,12991.0,2555.0,4571.0,1926.0,4719.5,199300.0
176,-116.29,33.72,5.0,3584.0,760.0,1097.0,470.0,3177.1,167400.0
177,-116.3,33.68,10.0,2387.0,481.0,863.0,304.0,2888.2,137500.0
178,-116.31,34.13,20.0,2352.0,556.0,1217.0,481.0,1606.3,55400.0
179,-116.31,33.67,15.0,2214.0,410.0,1152.0,350.0,2918.7,93400.0
180,-116.31,33.67,11.0,4686.0,851.0,2466.0,731.0,3333.2999999999997,91800.0
181,-116.31,33.66,7.0,4497.0,831.0,2248.0,713.0,3635.4,98000.0
182,-116.32,34.14,18.0,1880.0,487.0,994.0,425.0,1690.0,54200.0
183,-116.32,34.1,10.0,4256.0,861.0,1403.0,686.0,2661.7999999999997,81000.0
184,-116.32,33.28,19.0,1791.0,367.0,327.0,185.0,3362.5,100000.0
185,-116.33,34.15,13.0,1808.0,411.0,735.0,320.0,1548.8999999999999,57400.0
186,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4035.9999999999995,158500.0
187,-116.33,33.72,11.0,12327.0,2000.0,2450.0,1139.0,7438.2,353100.0
188,-116.34,33.36,24.0,2746.0,514.0,731.0,295.0,3321.4,176400.0
189,-116.35,34.13,9.0,1969.0,406.0,805.0,349.0,1549.1,62300.0
190,-116.35,32.74,16.0,2595.0,606.0,1046.0,367.0,1713.7,110700.0
191,-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1784.4,78500.0
192,-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3312.0,121300.0
193,-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7800.5,318100.0
194,-116.37,33.19,12.0,4890.0,1152.0,1289.0,570.0,2579.5,98700.0
195,-116.38,34.2,14.0,4985.0,1238.0,2517.0,954.0,2067.4,65000.0
196,-116.38,34.1,6.0,2104.0,348.0,841.0,320.0,4145.8,116300.0
197,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4083.9999999999995,194500.0
198,-116.38,33.73,10.0,11836.0,2405.0,3811.0,1570.0,4007.9,134500.0
199,-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4555.6,258100.0
200,-116.39,34.15,15.0,5583.0,1149.0,2709.0,964.0,1977.9,73300.0
201,-116.39,33.82,15.0,11115.0,2257.0,4122.0,1653.0,2721.9,74400.0
202,-116.39,33.72,19.0,7646.0,1618.0,2496.0,1075.0,3556.9,128000.0
203,-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6983.3,238800.0
204,-116.4,34.12,16.0,5648.0,1089.0,2524.0,1008.0,2673.9,78000.0
205,-116.4,34.09,9.0,4855.0,872.0,2098.0,765.0,3272.3,97800.0
206,-116.4,33.78,8.0,3059.0,500.0,612.0,208.0,6872.9,259200.0
207,-116.41,33.74,25.0,2475.0,476.0,910.0,387.0,3363.9,168800.0
208,-116.41,33.74,17.0,4289.0,893.0,958.0,440.0,2465.9,177800.0
209,-116.42,33.79,12.0,7095.0,1260.0,1179.0,570.0,4944.4,285000.0
210,-116.42,33.76,14.0,16921.0,2837.0,2524.0,1262.0,7628.099999999999,341700.0
211,-116.42,33.68,15.0,3895.0,782.0,900.0,529.0,2220.8,138300.0
212,-116.42,33.51,26.0,186.0,48.0,102.0,39.0,2562.5,103100.0
213,-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2482.8,84000.0
214,-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3522.3,115100.0
215,-116.43,33.75,24.0,2596.0,438.0,473.0,237.0,3772.7,500001.0
216,-116.44,34.16,19.0,1867.0,361.0,758.0,321.0,2892.9,98100.0
217,-116.44,34.12,18.0,5584.0,1303.0,2250.0,1158.0,1582.3,72400.0
218,-116.44,33.93,17.0,5293.0,1266.0,1201.0,599.0,1684.9,88400.0
219,-116.44,33.77,18.0,4872.0,1110.0,955.0,656.0,2243.9,97500.0
220,-116.44,33.74,5.0,846.0,249.0,117.0,67.0,7988.5,403300.0
221,-116.45,33.8,9.0,5534.0,1206.0,2283.0,1008.0,3616.1,99100.0
222,-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3085.9,134600.0
223,-116.45,32.65,22.0,2680.0,643.0,1644.0,516.0,2194.9,127100.0
224,-116.46,33.82,6.0,4863.0,920.0,3010.0,828.0,3950.8,104200.0
225,-116.46,33.78,33.0,2565.0,745.0,2301.0,638.0,2547.7,83000.0
226,-116.47,34.07,22.0,5473.0,1234.0,2581.0,1098.0,1937.5,65300.0
227,-116.47,33.94,18.0,2233.0,471.0,919.0,388.0,3257.8,85200.0
228,-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4311.099999999999,142500.0
229,-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2449.7,90900.0
230,-116.47,33.78,27.0,1781.0,441.0,759.0,340.0,3316.2,113600.0
231,-116.48,33.94,10.0,3254.0,913.0,923.0,486.0,1800.0,81000.0
232,-116.48,33.79,14.0,9425.0,2020.0,1711.0,1000.0,2629.7999999999997,145200.0
233,-116.48,33.61,8.0,1294.0,272.0,457.0,199.0,2916.7000000000003,115300.0
234,-116.49,33.82,27.0,3316.0,636.0,2362.0,532.0,2956.9,65900.0
235,-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3739.6,148900.0
236,-116.5,33.98,5.0,4332.0,868.0,1420.0,567.0,4041.7,146400.0
237,-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1698.3,66600.0
238,-116.5,33.82,16.0,343.0,85.0,29.0,14.0,2104.2000000000003,87500.0
239,-116.5,33.81,26.0,5032.0,1229.0,3086.0,1183.0,2539.8999999999996,94800.0
240,-116.5,33.69,20.0,4810.0,1074.0,1304.0,740.0,2250.0,248100.0
241,-116.51,34.85,15.0,3149.0,713.0,1281.0,486.0,2000.0,64700.0
242,-116.51,34.45,21.0,8502.0,2634.0,2330.0,991.0,1381.1,51300.0
243,-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1466.5,61100.0
244,-116.51,33.94,12.0,3369.0,780.0,1315.0,584.0,1738.8,66000.0
245,-116.51,33.89,21.0,1284.0,306.0,537.0,233.0,1950.0,61000.0
246,-116.52,33.97,13.0,3921.0,754.0,1902.0,665.0,3361.6000000000004,89600.0
247,-116.52,33.85,13.0,7559.0,1444.0,3189.0,1105.0,3488.6,112500.0
248,-116.52,33.84,17.0,4465.0,859.0,853.0,445.0,3687.5,130400.0
249,-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2521.2,145200.0
250,-116.52,32.9,18.0,4454.0,852.0,1754.0,656.0,4570.0,189900.0
251,-116.53,33.95,18.0,2990.0,648.0,1280.0,532.0,2625.0,68200.0
252,-116.53,33.88,5.0,4423.0,763.0,1906.0,667.0,4685.5,125200.0
253,-116.53,33.85,16.0,10077.0,2186.0,3048.0,1337.0,2964.7000000000003,110900.0
254,-116.53,33.84,28.0,8399.0,1839.0,3470.0,1340.0,2588.5,159000.0
255,-116.53,33.78,18.0,2547.0,463.0,411.0,214.0,2548.9,220500.0
256,-116.54,33.81,31.0,6814.0,1714.0,2628.0,1341.0,2117.6,124100.0
257,-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3149.3,199400.0
258,-116.54,33.8,22.0,6050.0,1387.0,1432.0,890.0,2221.6,183900.0
259,-116.54,33.79,18.0,9374.0,1780.0,1678.0,919.0,3973.7,235600.0
260,-116.55,33.84,28.0,2992.0,562.0,676.0,346.0,5761.3,500001.0
261,-116.56,34.06,15.0,6928.0,1529.0,2568.0,1075.0,2540.5,69600.0
262,-116.56,33.83,36.0,1765.0,399.0,451.0,264.0,2608.2999999999997,321900.0
263,-116.56,33.05,15.0,1985.0,361.0,536.0,209.0,4125.0,148200.0
264,-116.57,35.43,8.0,9975.0,1743.0,6835.0,1439.0,2713.8,22500.0
265,-116.57,34.0,20.0,260.0,67.0,69.0,50.0,3520.7999999999997,76600.0
266,-116.57,33.94,29.0,551.0,166.0,224.0,107.0,1191.7,50000.0
267,-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3389.7,230200.0
268,-116.57,33.64,10.0,489.0,82.0,183.0,74.0,6270.2,345500.0
269,-116.58,32.69,19.0,4085.0,876.0,2133.0,718.0,2919.0,116500.0
270,-116.6,33.49,16.0,3730.0,827.0,1346.0,592.0,2183.0,113500.0
271,-116.6,33.06,23.0,1731.0,365.0,612.0,258.0,2781.2999999999997,172900.0
272,-116.61,33.04,11.0,2522.0,538.0,616.0,269.0,3875.0,198100.0
273,-116.62,34.23,14.0,6438.0,1719.0,1586.0,691.0,1613.6,67400.0
274,-116.62,32.86,18.0,4115.0,847.0,2032.0,745.0,4015.9,169100.0
275,-116.66,32.79,13.0,843.0,157.0,918.0,152.0,6215.200000000001,240600.0
276,-116.67,32.97,16.0,349.0,74.0,120.0,43.0,5359.0,193800.0
277,-116.68,33.71,21.0,3460.0,711.0,658.0,255.0,3588.2000000000003,161100.0
278,-116.68,33.16,26.0,1820.0,374.0,1001.0,324.0,2179.7,156300.0
279,-116.71,33.94,12.0,549.0,109.0,209.0,90.0,3020.7999999999997,66300.0
280,-116.72,34.89,14.0,4527.0,875.0,1640.0,590.0,2859.4,81700.0
281,-116.72,33.56,13.0,3166.0,682.0,1250.0,475.0,2355.0,122900.0
282,-116.74,33.62,11.0,2385.0,661.0,682.0,242.0,2914.1,214300.0
283,-116.74,33.33,17.0,4190.0,946.0,1802.0,673.0,2474.4,158200.0
284,-116.75,33.83,16.0,5277.0,1070.0,657.0,276.0,3333.2999999999997,143400.0
285,-116.75,32.85,17.0,4863.0,845.0,2266.0,769.0,4232.1,217400.0
286,-116.75,32.82,17.0,3348.0,481.0,1222.0,443.0,6636.099999999999,308600.0
287,-116.76,34.29,14.0,3959.0,849.0,1064.0,376.0,2821.4,111400.0
288,-116.76,34.14,4.0,42.0,10.0,9.0,3.0,536.0,42500.0
289,-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3069.4,173400.0
290,-116.76,32.84,16.0,3311.0,702.0,1627.0,624.0,3119.6000000000004,187200.0
291,-116.76,32.74,14.0,4085.0,751.0,2129.0,688.0,4736.7,214500.0
292,-116.77,33.92,19.0,2307.0,525.0,1266.0,437.0,1687.5,63000.0
293,-116.78,33.0,7.0,12480.0,1946.0,5102.0,1697.0,5510.2,221000.0
294,-116.79,33.99,16.0,319.0,68.0,212.0,67.0,1468.8000000000002,90000.0
295,-116.79,32.84,12.0,4281.0,786.0,1891.0,721.0,3576.9,231800.0
296,-116.79,32.61,19.0,2652.0,520.0,1421.0,491.0,3522.7,206100.0
297,-116.8,33.8,35.0,324.0,63.0,158.0,39.0,3416.7000000000003,100000.0
298,-116.8,32.8,11.0,3874.0,565.0,1672.0,546.0,6148.1,274600.0
299,-116.82,34.24,11.0,5799.0,1527.0,713.0,262.0,2514.7,84700.0
300,-116.83,34.25,15.0,8948.0,1985.0,1316.0,514.0,2737.5,90800.0
301,-116.83,32.83,6.0,3123.0,495.0,1513.0,480.0,5428.8,167800.0
302,-116.84,33.01,5.0,5673.0,855.0,2592.0,797.0,5415.5,199200.0
303,-116.84,32.92,20.0,1066.0,219.0,536.0,173.0,3160.7,119300.0
304,-116.84,32.86,16.0,2502.0,532.0,1211.0,494.0,3251.6,202100.0
305,-116.85,34.98,26.0,3606.0,792.0,1683.0,608.0,2658.7000000000003,57400.0
306,-116.85,34.25,5.0,5806.0,1030.0,569.0,219.0,4013.2000000000003,163100.0
307,-116.85,32.83,17.0,4234.0,770.0,2191.0,725.0,3644.5,197600.0
308,-116.86,34.23,13.0,4760.0,938.0,309.0,132.0,5461.8,147800.0
309,-116.86,33.97,11.0,658.0,131.0,376.0,120.0,2397.7,58000.0
310,-116.86,33.84,18.0,521.0,118.0,174.0,74.0,2778.7999999999997,91100.0
311,-116.86,33.73,13.0,2604.0,443.0,978.0,417.0,2933.0,170700.0
312,-116.86,33.05,17.0,9044.0,1689.0,5030.0,1596.0,3634.7999999999997,164500.0
313,-116.86,33.02,17.0,401.0,68.0,251.0,69.0,4651.799999999999,170200.0
314,-116.86,32.87,17.0,5799.0,921.0,2630.0,843.0,5052.4,285400.0
315,-116.86,32.8,19.0,1747.0,291.0,848.0,290.0,4875.0,187200.0
316,-116.87,33.94,35.0,4448.0,906.0,2736.0,843.0,2218.0,73400.0
317,-116.87,33.93,32.0,3141.0,812.0,2589.0,721.0,1455.6,54600.0
318,-116.87,33.76,5.0,4116.0,761.0,1714.0,717.0,2561.2,130800.0
319,-116.87,33.57,12.0,1153.0,265.0,446.0,195.0,3038.0,128100.0
320,-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5516.4,248900.0
321,-116.87,32.72,13.0,3268.0,491.0,1431.0,503.0,5765.2,259900.0
322,-116.88,34.25,11.0,1089.0,198.0,230.0,90.0,4964.299999999999,176000.0
